local_name,state_name,average_score,lat,lon
 Camden, NJ,3.656761905,34.2564,-80.6085
 Campbell, CA,3.975,41.0777,-80.5904
 Campbellsville, KY,3.643243243,37.3446,-85.3512
 Canandaigua, NY,3.938181818,42.8885,-77.2805
 Canton, IL,3.860526316,32.5976,-90.0315
 Canton, MA,4.019753086,32.5976,-90.0315
 Canton, MI,3.476923077,32.5976,-90.0315
 Canton, MO,4.033333333,32.5976,-90.0315
 Canton, NY,3.662732919,32.5976,-90.0315
 Canton, OH,3.803921569,32.5976,-90.0315
 Canyon, TX,3.655072464,34.9877,-101.918
 Cape Girardeau, MO,3.748,37.3108,-89.5596
 Carbondale, IL,3.721131448,37.722,-89.2238
 Cardiff, CARDIFF,3.904761905,51.5,-3.225
 Carlinville, IL,3.607692308,39.2774,-89.8762
 Carlisle, PA,3.684161491,39.5807,-84.3201
 Carlsbad, NM,3.4,33.1246,-117.2837
 Carpinteria, CA,4.525,34.3962,-119.5117
 Carrollton, GA,3.724369748,38.68,-85.1655
 Carson, CA,3.788825215,33.8374,-118.2559
 Carson City, NV,3.657936508,39.1512,-119.7474
 Carterville, IL,3.901492537,37.763,-89.084
 Carthage, TX,4.135897436,37.1503,-94.3225
 Cary, NC,4.3125,42.2128,-88.2491
 Casa Grande, AZ,5,32.907,-111.7624
 Casper, WY,3.628888889,42.8421,-106.3208
 Cedar City, UT,3.806153846,37.6835,-113.0957
 Cedar Falls, IA,3.611494253,42.5195,-92.4534
 Cedar Hill, TX,3.861111111,32.5809,-96.9592
 Cedar Park, TX,3.65,30.5105,-97.8198
 Cedar Rapids, IA,3.796745562,41.9667,-91.6782
 Celina, OH,3.642105263,40.5551,-84.5629
 Centennial, CO,3.261538462,39.5926,-104.8674
 Centerville, IA,4.35,40.9284,-111.8848
 Centerville, OH,3.9,40.9284,-111.8848
 Central, SC,3.99,34.7234,-82.7789
 Centralia, IL,4.203125,38.5223,-89.1233
 Centralia, WA,4.049122807,38.5223,-89.1233
 Centreville, MI,3.75,38.5798,-90.1039
 Cerritos, CA,3.514285714,33.8677,-118.0686
 Chadron, NE,3.621153846,42.826,-103.0024
 Chambersburg, PA,3.761403509,39.9315,-77.6556
 Champaign, IL,3.822568093,40.1144,-88.2735
 Chandler, AZ,3.79379845,33.2827,-111.8516
 Chanute, KS,3.66875,37.6697,-95.4619
 Chapel Hill, NC,3.843582704,35.9269,-79.039
 Charles Town, WV,3.672489083,39.2746,-77.8632
 Charleston, IL,3.676081425,32.8137,-79.9643
