local,state,average_score,lat,lon,fips
 Clayton, NC,5,38.6444,-90.3303,37101
 Clearfield, PA,4,41.103,-112.0237,42033
 Clearfield, UT,5,41.103,-112.0237,49011
 Clearwater, FL,4.026923077,27.9786,-82.7622,12103
 Cleburne, TX,3.75,32.3562,-97.4146,48251
 Clemson, SC,3.674827109,34.6838,-82.8124,45077
 Clermont, FL,3.786363636,28.5403,-81.7296,12069
 Cleveland, GA,4.087804878,33.744,-90.7285,13311
 Cleveland, MS,3.744897959,33.744,-90.7285,28011
 Cleveland, OH,3.711423626,33.744,-90.7285,39035
 Cleveland, TN,3.971171171,33.744,-90.7285,47011
 Cleveland, WI,4.16875,33.744,-90.7285,55071
 Clifton, NJ,4.49,33.0249,-109.2883,34031
 Clinton, IA,3.372222222,34.4774,-81.864,19045
 Clinton, MS,3.731538462,34.4774,-81.864,28049
 Clinton, NC,4.313333333,34.4774,-81.864,37163
 Clinton, NY,3.757075472,34.4774,-81.864,36065
 Clinton, SC,3.71954023,34.4774,-81.864,45059
 Cloquet, MN,3.41,46.7221,-92.4923,27017
 Clovis, NM,4.105263158,36.8278,-119.6841,35009
 Clyde, NC,4.303125,41.3046,-82.9782,37087
 Coalinga, CA,4.155172414,36.1432,-120.3266,6019
 Cobleskill, NY,3.761038961,42.6787,-74.486,36095
 Cocoa, FL,3.83,28.3821,-80.7675,12009
 Coconut Creek, FL,3.914285714,26.2803,-80.1842,12011
 Coffeyville, KS,4.183333333,37.052,-95.6178,20125
 Colby, KS,4.354545455,39.3842,-101.0461,20193
 College Park, MD,3.660232945,38.9962,-76.9337,24033
 College Place, WA,3.482051282,46.0431,-118.3869,53071
 College Station, TX,3.741509434,30.5852,-96.296,48041
 Collegedale, TN,3.746491228,35.0521,-85.0488,47065
 Collegeville, PA,3.8,40.1873,-75.4581,42091
 Colorado Springs, CO,3.769957806,38.8674,-104.7606,8041
 Columbia, KY,3.731428571,37.1036,-85.3074,21001
 Columbia, MD,3.791038697,37.1036,-85.3074,24027
 Columbia, MO,3.716712899,37.1036,-85.3074,29019
 Columbia, SC,3.778718817,37.1036,-85.3074,45079
 Columbia, TN,3.709714286,37.1036,-85.3074,47119
 Columbus, GA,3.747611465,33.5088,-88.4097,13215
 Columbus, IN,3.595833333,33.5088,-88.4097,18005
 Columbus, MS,4.042105263,33.5088,-88.4097,28087
 Columbus, NE,3.41875,33.5088,-88.4097,31141
 Columbus, OH,3.774782905,33.5088,-88.4097,39049
 Commerce, TX,3.706236559,34.2129,-83.4729,48231
 Compton, CA,3.910679612,33.893,-118.2275,6037
 Concord, CA,4.04,37.9722,-122.0016,6013
 Concord, NC,3.958823529,37.9722,-122.0016,37025
 Concord, NH,2.961904762,37.9722,-122.0016,33013
 Concordia, KS,3.8,39.5669,-97.6466,20029
 Conway, AR,3.837802198,33.8404,-79.0419,5045
 Conway, SC,3.815484805,33.8404,-79.0419,45051
 Cookeville, TN,3.707971014,36.1484,-85.5114,47141
 Coolidge, AZ,4.10625,32.9398,-111.526,4021
 Coon Rapids, MN,3.834123223,45.1755,-93.3094,27003
 Coos Bay, OR,3.88245614,43.3789,-124.233,41011
 Coral Gables, FL,3.743780291,25.7037,-80.2715,12086
 Corbin, KY,2.85,36.932,-84.1003,21235
 Corinth, TX,3.819512195,34.9474,-88.5143,48121
 Corning, NY,3.998295455,39.9282,-122.182,36101
 Corpus Christi, TX,3.781161972,27.7173,-97.3822,48355
 Corsicana, TX,3.983333333,32.0821,-96.468,48349
 Cortland, NY,3.686443381,41.3319,-80.7192,36023
 Corvallis, OR,3.589876761,44.5697,-123.278,41003
 Costa Mesa, CA,3.842905122,33.6667,-117.9135,6059
 Cottleville, MO,3.756343284,38.7511,-90.6587,29183
 Council Bluffs, IA,3.769642857,41.2369,-95.8517,19155
