local_name,state_name,average_score,lat,lon
 Culver City, CA,3.633333333,34.0058,-118.3968
 Cupertino, CA,4.5,37.3168,-122.0465
 Cypress, CA,4.15,33.8171,-118.0386
 Dahlonega, GA,4.05,34.5302,-83.9796
 Dallas, NC,3.3,44.922,-123.3137
 Dallas, PA,4.15,44.922,-123.3137
 Dallas, TX,3.924242424,44.922,-123.3137
 Dalton, GA,3.95,34.7689,-84.9711
 Danbury, CT,3.6375,41.4016,-73.471
 Danville, VA,3.45,37.642,-84.7769
 Davenport, IA,5,41.5563,-90.6052
 Davidson, NC,3.6,35.4862,-80.8271
 Davie, FL,3.728571429,26.079,-80.287
 Davis, CA,3.217647059,38.5552,-121.7365
 Dayton, OH,3.837142857,39.1127,-84.4639
 Daytona Beach, FL,3.67,29.1995,-81.0982
 De Pere, WI,4.05,44.4313,-88.0793
 De Queen, AR,5,34.0426,-94.342
 DeKalb, IL,3.829411765,41.9312,-88.7483
 DeLand, FL,5,29.0226,-81.2875
 Dearborn, MI,3.92,42.3127,-83.2129
 Decatur, AL,3.316666667,40.8301,-84.9281
 Decatur, GA,3.923529412,40.8301,-84.9281
 Decatur, IL,4.2,40.8301,-84.9281
 Decorah, IA,4.3,43.3016,-91.7845
 Defiance, OH,5,41.281,-84.366
 Delaware, OH,4.1,40.2866,-83.0747
 Delhi, NY,4.65,28.67,77.23
 Denton, TX,3.762745098,33.2176,-97.1421
 Denver, CO,3.444117647,39.7621,-104.8759
 Des Moines, IA,3.2,41.5725,-93.6104
 Des Moines, WA,3.928571429,41.5725,-93.6104
 Des Plaines, IL,4.26,42.0344,-87.9008
 Detroit, MI,4.041666667,42.3834,-83.1024
 Dothan, AL,1.3,31.2336,-85.4068
 Dover, DE,3.914285714,40.5302,-81.4805
 Dowagiac, MI,2.3,41.9834,-86.1126
 Downingtown, PA,4.033333333,40.0076,-75.7019
 Doylestown, PA,3.375,40.314,-75.128
 Dryden, NY,2.65,49.7833,-92.8333
 Dublin, VA,3.5,40.1111,-83.1452
 Dubuque, IA,4.65,42.5007,-90.7067
 Duluth, MN,3.628571429,46.7757,-92.1392
